Song;Effect;Multiplier;MinimumTime
Day 'N' Night (Agent X Remix);CyanYellow;1;
Day 'N' Night (Agent X Remix);OnOffFull;1;68
Day 'N' Nite (Radio Edit);BluePurple;1;
Day 'N' Nite (Radio Edit);OnOffFull;1;8
Day 'N' Nite (Radio Edit);BluePurple;1;9
Day 'N' Nite (Radio Edit);OnOffFull;1;37.5
Day 'N' Nite (Radio Edit);BluePurple;1;39
Day 'N' Nite (Radio Edit);OnOffFull;1;104
Day 'N' Nite (Radio Edit);BluePurple;1;106
Day 'N' Nite (Radio Edit);OnOffFull;1;133.6
Day 'N' Nite (Radio Edit);BluePurple;1;135.6
Day 'N' Nite (Radio Edit);OnOffFull;1;118.8
Day 'N' Nite (Radio Edit);BluePurple;1;120.8
Day 'N' Nite (Radio Edit);OnOffFull;1;111.4
Day 'N' Nite (Radio Edit);BluePurple;1;113.4
Green Light(John Legend & Qndre 3000);BlueGreen;1;
Blue (Da Da dee);BlueEffect;1;34
Blue (Da Da dee);BlueCyanSmooth;0.5;
Blue (Da Da dee);BlueCyan;1;49
Animals (Original Mix);AlternateColor;1;
Wizard (Steerner Bootleg);AlternateColor;1;
Flute (Original Mix);AlternateColor;1;
The Keys;BlueGreen;0.25;
The Keys;AlternateColorLedOnly;1;38.8
Stamp On The Ground - Extended Mix;AlternateColor;1;
Loco (Extended Mix);AlternateColor;1;
Pursuit of Happiness [Steve Aoki Remix];YellowRed;1;
Seven Nation Army (Destroy Mix);Flash;1;
Ghosts 'N Stuff;BlueEffect;1;
Fireball - feat. Broken Back;YellowFlash;1;
I Gotta Feeling (FMIF Remix);YellowFlashOnGreen;1;
I Gotta Feeling (FMIF Remix);BlueEffect;1;67.5
I Gotta Feeling (FMIF Remix);YellowFlashOnGreen;1;127
Single Ladies (Extended Mix);BlueRed;1;
Single Ladies (Extended Mix);BlueGreen;1;46
No Stress ( extended mix);AlternateColor;1;
One Desire (Mondotek Remix);BlueGreen;1;
Sexy Bitch (Feat. Akon) Afrojack Remix;FastAndFlash;1;
When Love Takes Over (Electro Extented);AlternateColor;1;
Single Ladies (Extended Mix);Flash;1;60
Single Ladies (Extended Mix);BlueEffect;1;75
L' Aventurier;AlternateColor;1;
L' Aventurier;RedCrescendo;1;118
L' Aventurier;WhiteCrescendo;1;124
L' Aventurier;AlternateColor;1;142
Gimme! Gimme! Gimme! (A Man Af;LowSlowAlternateColor;0.5;
Gimme! Gimme! Gimme! (A Man Af;AlternateColor;1;17.5
Louxor J'adore;AlternateColorLedOnly;1;
Louxor J'adore;OnOff;1;35
Louxor J'adore;AlternateColorLedOnly;1;49
Louxor J'adore;White;1;63.5
Louxor J'adore;Blackout;1;64
Louxor J'adore;White;1;67
Louxor J'adore;AlternateColorLedOnly;1;67.5
Louxor J'adore;Blackout;1;71
Louxor J'adore;AlternateColorLedOnly;1;73.5
Louxor J'adore;Blackout;1;78.2
Louxor J'adore;AlternateColorLedOnly;1;84
Louxor J'adore;YellowRed;1;99
